;Diagnostico;Region;Actividad Economica;Edad;Sexo;Seguro;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Observación
LM Autorizadas Seguro de Salud;;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;2685957;2640436;2847159;3159058;3348560;3664072;4005604;4311164;4310302;6368309;7049916;
LM Autorizadas Seguro de Salud;;todas_regiones;todas_actv;todas_edad;ambos_sex;Isapre;1265494;1385015;1565075;1696620;1685906;1816124;1885351;2016708;1280192;1620894;1896809;Mientras bajan los años, ISAPRE se ajusta
LM Autorizadas Seguro de Salud y Sexo;;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;1255109;1321216;1398039;1550635;1856127;2846848;2893906;
LM Autorizadas Seguro de Salud y Sexo;;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;2093451;2342856;2607556;2760529;2454175;3521461;4156010;
LM Autorizadas Seguro de Salud y Sexo;;todas_regiones;todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;9;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
LM Autorizadas Seguro de Salud y Sexo;;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;796298;866724;903365;969403;860492;841101;906507;
LM Autorizadas Seguro de Salud y Sexo;;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;889608;942173;981986;1047305;742118;779750;990299;
LM Autorizadas Seguro de Salud y Sexo;;todas_regiones;todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;36;43;3;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;30551;25193;27171;26826;27217;56144;62586;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;287632;282168;306097;324874;321239;509894;544965;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;979478;1056613;1174962;1280677;1267677;1937880;2168515;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;780273;860879;935373;1002073;986607;1500893;1687156;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;682753;750656;797020;841525;845457;1232912;1307772;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;459736;535409;595356;642889;658956;901229;1002386;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;128137;153154;169625;192300;203149;229357;276536;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;0;0;0;0;0;0;0;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;3028;2403;1828;1712;1184;643;572;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;74062;69400;62325;60123;44744;34699;27248;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;604222;629995;648492;693409;551246;546139;594413;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;35-44;ambos_sex;isapre;;;;;476344;520155;551208;597576;479394;508459;612295;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;45-54;ambos_sex;isapre;;;;;294891;321871;337829;359800;293648;300280;365782;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;55-64;ambos_sex;isapre;;;;;197237;220028;234828;249520;192431;192701;243153;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;65 y más;ambos_sex;isapre;;;;;36122;45037;48823;54561;39990;37970;53344;
LM autorizadas Seguro de Salud y Edad;;todas_regiones;todas_actv;Sin información;ambos_sex;isapre;;;;;0;9;18;7;7;3;2;
LM autorizadas Seguro de Salud y Region;;Arica y Parinacota (XV);todas_actv;todas_edad;ambos_sex;fonasa;;;;;32122;31481;31234;28262;21733;36184;46810;
LM autorizadas Seguro de Salud y Region;;Tarapacá (I);todas_actv;todas_edad;ambos_sex;fonasa;;;;;51851;56098;64586;77285;65239;106122;127328;
LM autorizadas Seguro de Salud y Region;;Antofagasta (II);todas_actv;todas_edad;ambos_sex;fonasa;;;;;95285;96402;98814;118289;126247;203365;234236;
LM autorizadas Seguro de Salud y Region;;Atacama (III);todas_actv;todas_edad;ambos_sex;fonasa;;;;;55565;53630;52812;65319;53081;84539;117835;
LM autorizadas Seguro de Salud y Region;;Coquimbo (IV);todas_actv;todas_edad;ambos_sex;fonasa;;;;;91299;91448;107838;118263;101248;170984;232502;
LM autorizadas Seguro de Salud y Region;;Valparaíso (V);todas_actv;todas_edad;ambos_sex;fonasa;;;;;237112;237764;235875;352748;339907;560518;670980;
